Date,SPY,QQQ,XLV,XLE,VNQ,ICLN
2022-01-03,453.21038818359375,392.1842041015625,131.19891357421875,50.00301742553711,99.2519760131836,20.298839569091797
2022-01-04,453.05859375,387.0972595214844,129.46768188476562,51.73328399658203,99.13126373291016,19.984941482543945
2022-01-05,444.3588562011719,375.2051696777344,128.54556274414062,51.72454071044922,96.29426574707031,19.05275535583496
2022-01-06,443.9414978027344,374.9415588378906,127.05896759033203,52.87805938720703,96.3804931640625,18.786413192749023
2022-01-07,442.18634033203125,370.8799743652344,126.40973663330078,53.603363037109375,95.74237823486328,18.7008056640625
2022-01-10,441.6361083984375,371.12396240234375,127.70816802978516,53.437347412109375,95.19051361083984,18.615196228027344
2022-01-11,445.6586608886719,376.69903564453125,128.724365234375,55.25499725341797,95.33710479736328,18.776901245117188
2022-01-12,446.863525390625,378.19287109375,128.3573760986328,55.35985565185547,95.4491958618164,18.824464797973633
2022-01-13,440.7063903808594,368.73193359375,126.3626937866211,55.080223083496094,95.2594985961914,18.615196228027344
2022-01-14,440.88653564453125,371.0263671875,126.14627838134766,56.373558044433594,94.39717102050781,18.501052856445312
2022-01-18,433.0787048339844,361.7900390625,124.37740325927734,56.60074996948242,93.40552520751953,17.987398147583008
2022-01-19,428.58184814453125,357.81622314453125,123.86929321289062,56.19004440307617,92.14654541015625,17.939838409423828
2022-01-20,423.8382263183594,353.1687927246094,123.06014251708984,55.67445373535156,90.96517944335938,18.05398178100586
2022-01-21,415.5179748535156,343.37591552734375,121.81816864013672,54.57337188720703,90.74098205566406,17.40715980529785
2022-01-24,417.2826232910156,344.94781494140625,121.41355895996094,54.940399169921875,90.91343688964844,17.473745346069336
2022-01-25,412.1879577636719,336.9514465332031,120.63263702392578,57.072654724121094,90.55126953125,16.950578689575195
2022-01-26,411.1538391113281,336.4242248535156,120.0022201538086,56.97652053833008,89.13707733154297,17.00765037536621
2022-01-27,409.1236572265625,333.0362548828125,120.31269836425781,57.596981048583984,87.66253662109375,16.74131202697754
2022-01-28,419.284423828125,343.4833068847656,122.7684555053711,57.35228729248047,90.49952697753906,16.893505096435547
2022-01-31,426.8362121582031,354.46734619140625,123.47412872314453,57.605712890625,91.61190795898438,17.835205078125
2022-02-01,429.7202453613281,356.8789367675781,123.80342864990234,59.65932083129883,91.28422546386719,17.80666732788086
2022-02-02,433.8945617675781,359.7787170410156,125.46880340576172,59.85157775878906,92.44835662841797,17.730567932128906
2022-02-03,423.6958923339844,345.1919250488281,124.9325180053711,59.283546447753906,91.46531677246094,17.28350257873535
2022-02-04,425.68817138671875,349.5464782714844,124.48091125488281,60.20985412597656,90.55989074707031,17.445209503173828
2022-02-07,424.3220520019531,346.73455810546875,124.26448822021484,60.97886657714844,90.43054962158203,17.340576171875
2022-02-08,427.8133544921875,350.63018798828125,125.28065490722656,59.66803741455078,90.00802612304688,17.37862205505371
2022-02-09,434.0747985839844,358.060302734375,126.24977111816406,60.16615676879883,92.04304504394531,18.006423950195312
2022-02-10,426.2763977050781,349.9565734863281,124.27388763427734,59.7903938293457,89.87004089355469,17.549842834472656
2022-02-11,417.8707580566406,338.8553161621094,122.55205535888672,61.529415130615234,89.05085754394531,17.09326171875
2022-02-14,416.504638671875,339.2752380371094,121.3006591796875,60.078773498535156,88.24027252197266,16.96009063720703
2022-02-15,423.2214660644531,347.7109069824219,122.66496276855469,59.44956588745117,89.03360748291016,17.816181182861328
2022-02-16,423.6958923339844,347.62310791015625,122.85314178466797,59.93021774291992,89.447509765625,17.82569122314453
2022-02-17,414.645263671875,337.28338623046875,120.87725067138672,59.834075927734375,88.49897003173828,17.57837677001953
2022-02-18,411.96038818359375,333.4365234375,119.97399139404297,59.46707534790039,87.9643325805664,17.254966735839844
2022-02-22,407.5393371582031,330.0876159667969,119.67292022705078,58.50579833984375,87.64527130126953,16.826921463012695
2022-02-23,400.3100891113281,321.63238525390625,119.07072448730469,59.108768463134766,86.19660186767578,16.71277618408203
2022-02-24,406.3344421386719,332.44061279296875,119.55057525634766,58.6456184387207,87.64527130126953,17.987398147583008
2022-02-25,415.29974365234375,337.5958251953125,123.21066284179688,60.192378997802734,89.75794219970703,18.491539001464844
2022-02-28,414.2371826171875,338.60150146484375,122.27921295166016,61.67796325683594,88.42137145996094,19.699575424194336
2022-03-01,407.92828369140625,333.4170227050781,121.60176086425781,62.29841232299805,87.95571899414062,19.509336471557617
2022-03-02,415.4326477050781,339.01153564453125,123.43649291992188,63.72282791137695,89.60272216796875,19.195436477661133
2022-03-03,413.3643798828125,334.1688537597656,124.06687927246094,63.897586822509766,90.33570098876953,18.615196228027344
2022-03-04,410.00592041015625,329.3260192871094,124.68788146972656,65.74149322509766,90.74960327148438,18.472515106201172
2022-03-07,397.9193420410156,317.1802062988281,122.51441955566406,66.71147155761719,88.95599365234375,18.929096221923828
2022-03-08,394.9024658203125,315.7058410644531,120.01162719726562,67.76011657714844,88.52484130859375,20.232255935668945
2022-03-09,405.4900817871094,327.07073974609375,122.27921295166016,65.68903350830078,89.88728332519531,20.289329528808594
2022-03-10,403.6590576171875,323.4385986328125,122.23216247558594,67.69895935058594,90.11149597167969,20.003963470458984
2022-03-11,398.5265197753906,316.73101806640625,121.3194808959961,67.15715026855469,89.39576721191406,19.699575424194336
2022-03-14,395.6139221191406,310.6483459472656,122.17571258544922,65.1472396850586,88.69731140136719,18.986167907714844
2022-03-15,404.3136901855469,320.3923645019531,124.61260986328125,62.76156997680664,89.29229736328125,19.290557861328125
